src	dest
RBM5	TXNL4A
POLR2G	U2AF1L4
PPP2R5A	CACNG2
PSMB1	PSMD13
EME1	FAN1
LZTFL1	BBS4
EIF2S1	EIF4E
LAT	RAC1
IFNA5	JAK1
MAP3K7	PRKAB2
MRPS34	MRPS18C
PSMF1	UBC
SEC24A	F5
GRIN2D	RAC2
NDUFA12	NDUFS1
RPS26	EIF3G
POM121C	PML
ARPC3	V1-7
PXN	ITGB6
RAD52	RHNO1
PCDHGA8	PCDH8
BRCA1	LRSAM1
NDUFV1	NDUFC2
RPL35A	RPL11
PSMD13	APC
RELA	MED1
GNA13	PLXNB1
POLR2F	TIAL1
EPB41L1	MDM2
PSMA1	SNCAIP
TAF1	UBE2D3
RBX1	RFC5
TUBG2	HAUS4
DNAJC3	RPL35
GNAI2	GNGT2
IFNA8	IL11RA
UPF3B	RPL35A
CHEK2	HERC2
POLR2A	SRSF9
CCNH	TAF7
DYNC1H1	TUBA1C
RPL35	RPS7
GDI2	RAB7A
EIF1AX	RPL13A
UBE2E1	UBA1
RPL5	RPS25
HSPA8	SLC18A3
SUPT16H	CDK9
IGHG2	WAS
CTNNA1	MAPK11
TNF	DAXX
IL12A	IL3RA
KIF2C	NUP133
SOS1	ERBB3
IGKV1-33	PLCG2
NOD2	RIPK2
LUM	FASLG
WIPF1	IGLV6-57
M6PR	FCHO2
DCTN3	COPG1
DKFZP666O0110	ACTN3
EP400	LMNB1
ACTR1A	CEP83
CDH23	PCDHB3
GTF2F2	CPSF3L
EIF5B	RPLP2
IL12RB1	RELA
CD95	FADD
SLC18A3	CLTCL1
MRPL57	MRPL11
TUBB4A	TUBGCP5
WBP11	U2SURP
POU4F1	TP53
POLR2A	RFC2
RPS11	SRP19
EIF5B	RPL19
POLR2I	HNRNPA1
IRS2	JAK1
SEC61B	RPL3
CDK7	ZNRD1
CDKN1B	E2F2
SMG7	RPL5
IGKV1-12	IGHG3
CUL4B	POLR2I
YWHAB	CALM1
RARA	POLR2E
WNT1	MED4
MTERF3	RPS27A
DDX46	CHERP
MRPL15	GADD45GIP1
TMEM126B	MT-ND5
WNT5A	CSNK1A1L
MAFK	NFIA
DNAJC6	TFRC
PSMA3	UBB
PSMD14	PSMB3
CALR	C1QA
RAB3GAP2	DYNC1I2
SEC22B	ZW10
POLR2J	SP1
POLR2K	CWC27
A2M	RHOT1
CXCL2	CCR5
KAT2B	POLR1E
SRC	BCAR1
TLR4	TIRAP
FBL	RPS2
SNAPC2	SRRT
SP3	CYP1A1
ITGAV	NCL
TUBA4A	TBCC
LDLRAP1	ARPC2
V5-1	C2
PPP1R3E	CALML6
PTBP1	SF3A3
RPS9	RPL23
BAMBI	ACVR2B
ASUN	INTS5
PPP3CB	ANAPC2
WNT9B	FZD8
CRK	NGF
ERBB2	GRB7
HNRNPA2B1	CCAR1
ELL	IWS1
GSTM2	EPHX1
ESR1	ASB2
PSMC2	TNFSF14
TNFRSF11B	TNFSF11
RXRG	ACSL4
SNU13	U2AF1L4
FBXL20	RNF114
SPDYE3	CDK1
PAK2	BRAF
SYF2	CASC3
CTNNA1	ACTN1
DNAI2	TUBB6
MED6	MED11
HAUS1	NPHP4
UGT1A6	HSD11B1
PCDHA11	CDH19
C7	C5
NFKB1	TRIM37
V2-17	PRKCQ
PTK6	LRRK2
RFC4	ATRIP
POLR2H	CUL4B
GATA1	LMO2
MCFD2	SEC16A
MRPL58	MRPL41
PRKACG	OR14A16
CKAP5	TCTN2
GATAD2B	CHD3
V1-11	ELMO1
HOXA1	RBBP4
RPAP2	INTS7
CLTCL1	EGF
IFNA21	EPOR
DDIT4	YWHAE
ALG14	ALG13
TJP1	CLDN19
CALM1	YWHAQ
PLCB1	EDNRA
IGHG2	WIPF1
RBM22	LSM4
SEC24A	CD74
NDUFA8	NDUFA5
GLI3	UBC
LILRB5	FCGR1A
EIF4A1	RPS9
IGKV3-15	V2-8
COG5	SNAP29
CTNNB1	VASP
MAD1L1	ERCC6L
IL6	IL5RA
GRK1	CXCR2
CEP76	SCLT1
TXN	MAP3K5
CDK1	MAD1L1
ZNF143	ELL
UPF3B	RPL23A
MYH7B	ACTBL2
ELAVL2	WDR33
HSPA8	GPR37L1
FBXO30	FBXO4
GAB1	PRKCQ
FANCB	FAAP100
NFIB	POLR2L
KDR	ITGAV
POLB	APEX1
TRH	GNG2
WIPF2	IGKV3-20
POLR1B	SF3B1
MTTP	APOA1
GNB1	MC3R
IGKV3-20	WASF2
MAX	TAF4B
ZNF143	POLR3G
CYP1A2	GSTO1
SH3GL1	CBLB
PSMC1	MAP3K14
SEC11A	RPS15A
CNTRL	TMEM216
EIF3L	RPS2
HNRNPC	POLR2J
RAD17	SMARCAL1
TDRD1	TDRD12
NCOA2	NCOA1
ACTN4	COL5A3
GTF2B	GTF2H4
NUP155	SMN1
CSNK1A1	NFATC3
BAIAP2	IGLV2-11
CSNK1G2	PPP6C
PPP2R5A	CACNA2D4
CENPH	KIF18A
NFKBIA	PIK3CA
TUBA4A	PLK4
GNA11	LPAR4
CLP1	TXNL4A
RB1	HMGA2
PPP1CC	CREB3L3
DNAJC8	UPF3B
EZR	L1CAM
SH3GL2	FGFR4
IGLV1-51	IGKV4-1
TRAPPC2B	TRAPPC3
RPS26	RPL30
PAFAH1B1	NUP43
ARPC2	FNBP1
UBB	TLR4
COG6	COG5
NDUFB1	NDUFC1
CDK1	HAUS1
APOC3	HSPG2
RAB1A	RABGGTB
SYCE2	STAG1
PRKACB	ITPR3
IGKV1-17	IGLV3-21
CDK19	MED24
RPS6	RPP21
RPS27	SMG8
CDK4	CCND1
UBC	ARRB2
GRK3	OR1L8
L1CAM	SPTAN1
NCBP1	RPL35
CCNK	TCEA1
EXOSC8	ISG20L2
IL1RN	IL1R1
FBXO32	FBXL18
DCTN1	MKS1
FLG	DSC3
E2F6	FAM208A
SPCS1	RPS14
FZD6	GNA15
ADCY3	GNAS
PLCB1	DGKG
MAGOHB	RPS15
POLR2F	MLLT3
NUP85	SMN1
IGHV2-5	V2-11
C1QC	V3-3
SPCS3	RPL6
EP300	CCL2
STX6	GOLGA4
XRN1	LSM7
COPG2	DCTN2
VAMP7	STX4
FGF16	PDGFRA
PSMB7	PSMD2
LIMS2	PARVB
CKAP5	PPP1CC
DGKI	PLCG1
NUP214	SRSF6
UGT1A10	HEL-S-4
COL4A2	GP6
